,Quarter,Tm,Detail,MIN,RAM
0,1.0,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),7,0
1,1.0,Rams,Flipper Anderson 17 yard pass from Jim Everett (Tony Zendejas kick),7,7
2,2.0,Vikings,Terry Allen 36 yard pass from Keith Henderson (Fuad Reveiz kick),14,7
3,2.0,Rams,Tony Zendejas 30 yard field goal,14,10
4,2.0,Vikings,Fuad Reveiz 38 yard field goal,17,10
5,3.0,Vikings,Terry Allen 12 yard rush (Fuad Reveiz kick),24,10
6,3.0,Vikings,Keith Henderson 8 yard rush (Fuad Reveiz kick),31,10
7,4.0,Rams,Jim Price 16 yard pass from Mike Pagel (Tony Zendejas kick),31,17
