,Quarter,Time,Tm,Detail,DEN,KAN
0,1.0,9:29,Chiefs,Marcus Peters 45 yard fumble return (Harrison Butker kick),0,7
1,1.0,6:11,Chiefs,Travis Kelce 29 yard pass from Alex Smith (Harrison Butker kick),0,14
2,2.0,11:48,Broncos,Brandon McManus 27 yard field goal,3,14
3,2.0,5:02,Chiefs,Harrison Butker 25 yard field goal,3,17
4,3.0,12:30,Chiefs,Harrison Butker 32 yard field goal,3,20
5,3.0,8:11,Broncos,Brandon McManus 34 yard field goal,6,20
6,3.0,1:14,Broncos,Devontae Booker 6 yard rush (Brandon McManus kick),13,20
7,4.0,12:30,Chiefs,Harrison Butker 43 yard field goal,13,23
8,4.0,7:03,Chiefs,Harrison Butker 51 yard field goal,13,26
9,4.0,4:41,Chiefs,Harrison Butker 42 yard field goal,13,29
10,4.0,1:55,Broncos,A.J. Derby 11 yard pass from Trevor Siemian (pass failed),19,29
