,Quarter,Time,Tm,Detail,ARI,IND
0,1.0,4:44,Colts,Ben Utecht 14 yard pass from Jim Sorgi (Mike Vanderjagt kick),0,7
1,2.0,13:04,Cardinals,Neil Rackers 28 yard field goal,3,7
2,2.0,2:41,Colts,Mike Vanderjagt 44 yard field goal,3,10
3,3.0,11:26,Colts,Troy Walters 18 yard pass from Jim Sorgi (Mike Vanderjagt kick),3,17
4,3.0,8:29,Cardinals,Larry Fitzgerald 25 yard pass from Josh McCown (Neil Rackers kick),10,17
5,4.0,10:59,Cardinals,Neil Rackers 42 yard field goal,13,17
