,Quarter,Tm,Detail,STL,SFO
0,1.0,49ers,Ray Wersching 45 yard field goal,0,3
1,1.0,Cardinals,Jim Bakken 45 yard field goal,3,3
2,2.0,Cardinals,Al Chandler 15 yard pass from Jim Hart,9,3
3,3.0,Cardinals,Pat Tilley 5 yard pass from Jim Hart (Jim Bakken kick),16,3
4,4.0,49ers,Bob Ferrell 3 yard rush (Ray Wersching kick),16,10
