,Quarter,Tm,Detail,BUF,MIA
0,1.0,Dolphins,Mercury Morris 5 yard rush (Garo Yepremian kick),0,7
1,2.0,Bills,John Leypoldt 35 yard field goal,3,7
2,2.0,Bills,Ken Lee 16 yard interception return (John Leypoldt kick),10,7
3,2.0,Bills,John Leypoldt 34 yard field goal,13,7
4,3.0,Dolphins,Larry Csonka 10 yard rush (Garo Yepremian kick),13,14
5,3.0,Dolphins,Garo Yepremian 54 yard field goal,13,17
6,4.0,Bills,John Leypoldt 45 yard field goal,16,17
7,4.0,Dolphins,Mercury Morris 15 yard rush (Garo Yepremian kick),16,24
8,4.0,Bills,Jim Braxton 6 yard pass from Mike Taliaferro (John Leypoldt kick),23,24
