,Quarter,Tm,Detail,MIN,DET
0,1.0,Vikings,Darrin Nelson 11 yard rush (Fuad Reveiz kick),7,0
1,2.0,Vikings,Steve Jordan 2 yard pass from Rich Gannon (Fuad Reveiz kick),14,0
2,2.0,Lions,Eddie Murray 47 yard field goal,14,3
3,3.0,Vikings,Fuad Reveiz 42 yard field goal,17,3
4,4.0,Vikings,Fuad Reveiz 25 yard field goal,20,3
5,4.0,Lions,Robert Clark 68 yard pass from Rodney Peete (Eddie Murray kick),20,10
6,4.0,Lions,Willie Green 16 yard pass from Rodney Peete (Eddie Murray kick),20,17
7,4.0,Lions,Barry Sanders 15 yard rush (Eddie Murray kick),20,24
