,Quarter,Tm,Detail,NWE,BAL
0,1.0,Colts,Cotton Speyrer 17 yard pass from Marty Domres,0,6
1,1.0,Colts,George Hunt 16 yard field goal,0,9
2,2.0,Patriots,Randy Vataha 25 yard pass from Jim Plunkett (Jeff White kick),7,9
3,3.0,Patriots,Mack Herron 15 yard pass from Jim Plunkett,13,9
4,4.0,Colts,Tom Mitchell 18 yard pass from Marty Domres (pass failed),13,15
5,4.0,Colts,George Hunt 32 yard field goal,13,18
