,Quarter,Time,Tm,Detail,OAK,WAS
0,1.0,10:34,Redskins,Lemar Marshall 17 yard interception return (John Hall kick),0,7
1,1.0,0:31,Raiders,Sebastian Janikowski 30 yard field goal,3,7
2,2.0,7:57,Redskins,John Hall 24 yard field goal,3,10
3,2.0,0:16,Redskins,John Hall 45 yard field goal,3,13
4,3.0,13:02,Raiders,Jerry Porter 49 yard pass from Kerry Collins (Sebastian Janikowski kick),10,13
5,4.0,7:56,Raiders,Sebastian Janikowski 25 yard field goal,13,13
6,4.0,1:08,Raiders,Sebastian Janikowski 19 yard field goal,16,13
