,Quarter,Time,Tm,Detail,CIN,IND
0,2.0,,Bengals,Tony McGee 15 yard pass from Jeff Blake (Doug Pelfrey kick),7,0
1,2.0,,Colts,Marvin Harrison 6 yard pass from Kelly Holcomb (Cary Blanchard kick),7,7
2,3.0,,Colts,Cary Blanchard 42 yard field goal,7,10
3,3.0,,Bengals,Corey Dillon 46 yard rush (Doug Pelfrey kick),14,10
4,3.0,,Bengals,Carl Pickens 5 yard pass from Boomer Esiason (Doug Pelfrey kick),21,10
5,4.0,,Bengals,Tony McGee 5 yard pass from Boomer Esiason (Doug Pelfrey kick),28,10
6,4.0,,Colts,Cary Blanchard 45 yard field goal,28,13
