,Quarter,Time,Tm,Detail,TAM,NOR
0,1.0,10:49,Buccaneers,Joey Galloway 18 yard pass from Bruce Gradkowski (Matt Bryant kick),7,0
1,1.0,1:11,Saints,John Carney 21 yard field goal,7,3
2,2.0,1:44,Saints,Deuce McAllister 24 yard rush (John Carney kick),7,10
3,3.0,5:52,Saints,Ernie Conwell 9 yard pass from Drew Brees (John Carney kick),7,17
4,3.0,2:50,Buccaneers,Mike Alstott 1 yard rush (Matt Bryant kick),14,17
5,4.0,10:03,Buccaneers,Alex Smith 3 yard pass from Bruce Gradkowski (Matt Bryant kick),21,17
6,4.0,4:17,Saints,Reggie Bush 65 yard punt return (John Carney kick),21,24
