,Quarter,Time,Tm,Detail,HOU,LAC
0,1.0,9:47,Chargers,Keenan Allen 7 yard pass from Philip Rivers (Ty Long kick),0,7
1,2.0,10:36,Chargers,Ty Long 34 yard field goal,0,10
2,2.0,8:18,Texans,Darren Fells 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,10
3,2.0,0:29,Chargers,Keenan Allen 12 yard pass from Philip Rivers (Ty Long kick),7,17
4,3.0,7:36,Texans,Carlos Hyde 3 yard rush (Ka'imi Fairbairn kick),14,17
5,3.0,1:25,Texans,Jordan Akins 15 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,17
6,4.0,9:53,Texans,Jordan Akins 53 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),27,17
7,4.0,7:19,Chargers,Ty Long 43 yard field goal,27,20
