,Quarter,Tm,Detail,PIT,STL
0,1.0,Steelers,Dick Hoak 30 yard pass from Dick Shiner (Booth Lusteg kick),7,0
1,1.0,Steelers,Roy Jefferson 80 yard punt return (Booth Lusteg kick),14,0
2,2.0,Steelers,Earl Gros 21 yard pass from Dick Shiner (Booth Lusteg kick),21,0
3,3.0,Cardinals,Dave Williams 71 yard pass from Jim Hart (Jim Bakken kick),21,7
4,3.0,Cardinals,Dave Williams 11 yard pass from Jim Hart (Jim Bakken kick),21,14
5,3.0,Cardinals,Bobby Joe Conrad 80 yard pass from Jim Hart (Jim Bakken kick),21,21
6,3.0,Steelers,Roy Jefferson 52 yard pass from Dick Shiner (Booth Lusteg kick),28,21
7,4.0,Cardinals,Johnny Roland 1 yard rush (Jim Bakken kick),28,28
