,Quarter,Tm,Detail,CRD,CHI
0,1.0,Cardinals,Babe Dimancheff 80 yard pass from Paul Christman (Pat Harder kick),7,0
1,1.0,Cardinals,Elmer Angsman 2 yard rush (Pat Harder kick),14,0
2,1.0,Bears,Ken Kavanaugh 81 yard pass from Sid Luckman (Ray McLean kick),14,7
3,2.0,Cardinals,Elmer Angsman 1 yard rush,20,7
4,2.0,Cardinals,Mal Kutner 33 yard pass from Paul Christman (Pat Harder kick),27,7
5,4.0,Bears,Jim Keane 44 yard pass from Nick Sacrinty (Ray McLean kick),27,14
6,4.0,Cardinals,Pat Harder 14 yard field goal,30,14
7,4.0,Bears,Jim Keane 44 yard pass from Nick Sacrinty (Ray McLean kick),30,21
