,Quarter,Tm,Detail,SDG,DEN
0,2.0,Broncos,Jim Turner 47 yard field goal,0,3
1,2.0,Broncos,Rick Upchurch 92 yard punt return (Jim Turner kick),0,10
2,3.0,Broncos,Jim Turner 25 yard field goal,0,13
3,3.0,Broncos,Jim Turner 36 yard field goal,0,16
4,4.0,Broncos,Lonnie Perrin 1 yard rush (Jim Turner kick),0,23
5,4.0,Broncos,Jim Turner 27 yard field goal,0,26
