,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,George Rogers 1 yard rush (Mark Moseley kick),7,0
1,1.0,Steelers,Gary Anderson 22 yard field goal,7,3
2,1.0,Redskins,Clint Didier 18 yard pass from Jay Schroeder (Mark Moseley kick),14,3
3,2.0,Redskins,Mark Moseley 20 yard field goal,17,3
4,2.0,Steelers,Louis Lipps 5 yard pass from Scott Campbell (Gary Anderson kick),17,10
5,2.0,Steelers,Rich Erenberg 9 yard pass from Scott Campbell (Gary Anderson kick),17,17
6,2.0,Redskins,Mark Moseley 39 yard field goal,20,17
7,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),24,17
8,4.0,Steelers,Gary Anderson 37 yard field goal,24,27
9,4.0,Redskins,Mark Moseley 42 yard field goal,23,27
10,4.0,Steelers,Gary Anderson 27 yard field goal,23,30
