,Quarter,Time,Tm,Detail,SFO,ATL
0,1.0,,49ers,Jeff Wilkins 39 yard field goal,3,0
1,1.0,,Falcons,Morten Andersen 32 yard field goal,3,3
2,1.0,,49ers,Jeff Wilkins 26 yard field goal,6,3
3,2.0,,49ers,Steve Young 26 yard rush (Jeff Wilkins kick),13,3
4,2.0,,49ers,Jeff Wilkins 43 yard field goal,16,3
5,2.0,,49ers,Steve Young 5 yard rush (pass failed),22,3
6,2.0,,49ers,Jeff Wilkins 23 yard field goal,25,3
7,3.0,,49ers,Terry Kirby 10 yard pass from Steve Young (Jeff Wilkins kick),32,3
8,4.0,,49ers,"Safety, B. Young sacked Nagle in end zone",34,3
9,4.0,2:27,Falcons,Terance Mathis 7 yard pass from Browning Nagle (Morten Andersen kick),34,10
