,Quarter,Time,Tm,Detail,PIT,KAN
0,1.0,,Steelers,Courtney Hawkins 44 yard pass from Kordell Stewart (Norm Johnson kick),7,0
1,1.0,,Steelers,Norm Johnson 27 yard field goal,10,0
2,2.0,,Chiefs,Pete Stoyanovich 35 yard field goal,10,3
3,2.0,,Chiefs,Pete Stoyanovich 44 yard field goal,10,6
4,2.0,,Chiefs,Danan Hughes 14 yard pass from Marcus Allen (Pete Stoyanovich kick),10,13
