,Quarter,Tm,Detail,PIT,NYG
0,2.0,Giants,Frank Cope blocked punt recovery in end zone (Andy Marefos kick),0,7
1,2.0,Steelers,Don Looney 66 yard pass from Boyd Brumbaugh (Jack Sanders kick),7,7
2,3.0,Giants,Tuffy Leemans 1 yard rush (Ward Cuff kick),7,14
3,4.0,Giants,Andy Marefos 1 yard rush (Andy Marefos kick),7,21
4,4.0,Giants,Frank Reagan 3 yard rush (Andy Marefos kick),7,28
