,Quarter,Tm,Detail,BAL,MIA
0,1.0,Colts,Jim O'Brien 38 yard field goal,3,0
1,1.0,Dolphins,Jake Scott 77 yard punt return (Garo Yepremian kick),3,7
2,2.0,Dolphins,Bob Griese 15 yard rush (Garo Yepremian kick),3,14
3,2.0,Dolphins,Paul Warfield 27 yard pass from Bob Griese (Garo Yepremian kick),3,21
4,2.0,Colts,Roy Jefferson 4 yard pass from Johnny Unitas (Jim O'Brien kick),10,21
5,2.0,Dolphins,Garo Yepremian 43 yard field goal,10,24
6,3.0,Dolphins,Karl Noonan 51 yard pass from Bob Griese (Garo Yepremian kick),10,31
7,4.0,Colts,Tom Mitchell 2 yard pass from Johnny Unitas (Jim O'Brien kick),17,31
8,4.0,Dolphins,Garo Yepremian 46 yard field goal,17,34
