,Quarter,Time,Tm,Detail,CHI,ATL
0,2.0,,Falcons,Morten Andersen 50 yard field goal,0,3
1,2.0,1:10,Bears,Jeff Jaeger 35 yard field goal,3,3
2,3.0,1:10,Bears,Jeff Jaeger 32 yard field goal,6,3
3,3.0,1:10,Bears,Shawn Lee 15 yard defensive fumble return (Jeff Jaeger kick),13,3
4,3.0,1:10,Falcons,Terance Mathis 13 yard pass from Chris Chandler (Morten Andersen kick),13,10
5,4.0,1:10,Falcons,Todd Kinchen 11 yard pass from Chris Chandler (Morten Andersen kick),13,17
6,4.0,1:10,Falcons,Morten Andersen 44 yard field goal,13,20
