,Quarter,Tm,Detail,CHI,NWE
0,1.0,Patriots,Irving Fryar 80 yard pass from Doug Flutie,0,6
1,1.0,Bears,Jim McMahon 1 yard rush (Kevin Butler kick),7,6
2,2.0,Patriots,Lin Dawson 13 yard pass from Doug Flutie (Jason Staurovsky kick),7,13
3,2.0,Patriots,Lin Dawson 4 yard pass from Doug Flutie (Jason Staurovsky kick),7,20
4,3.0,Patriots,Jason Staurovsky 35 yard field goal,7,23
5,4.0,Patriots,Stanley Morgan 26 yard pass from Doug Flutie (Jason Staurovsky kick),7,30
