,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,,Redskins,Scott Blanton 37 yard field goal,3,0
1,2.0,,Redskins,Jamie Asher 12 yard pass from Gus Frerotte (Scott Blanton kick),10,0
2,2.0,,Eagles,Ricky Watters 1 yard rush (Gary Anderson kick),10,7
3,2.0,,Redskins,Scott Blanton 22 yard field goal,13,7
4,3.0,,Redskins,Jamie Asher 7 yard pass from Gus Frerotte (Scott Blanton kick),20,7
5,3.0,,Eagles,Chris Jones 13 yard pass from Ty Detmer (Gary Anderson kick),20,14
6,3.0,,Redskins,Scott Blanton 30 yard field goal,23,14
7,4.0,,Eagles,Ricky Watters 1 yard rush (Gary Anderson kick),23,21
8,4.0,,Redskins,Scott Blanton 33 yard field goal,26,21
