,Quarter,Tm,Detail,BUF,PRV
0,4.0,Steam Roller,Fred Sweet 12 yard field goal,0,3
1,4.0,Steam Roller,Archie Golembeski 60 yard fumble return (Fred Sweet kick),0,10
