,Quarter,Time,Tm,Detail,SEA,TAM
0,1.0,,Buccaneers,Michael Husted 33 yard field goal,0,3
1,2.0,,Seahawks,Todd Peterson 33 yard field goal,3,3
2,2.0,,Buccaneers,Reggie Brooks 2 yard rush (Michael Husted kick),3,10
3,4.0,,Buccaneers,Michael Husted 28 yard field goal,3,13
4,4.0,,Seahawks,Brian Blades 5 yard pass from Rick Mirer (Todd Peterson kick),10,13
5,4.0,,Seahawks,Lamar Smith 14 yard rush (Todd Peterson kick),17,13
