,Quarter,Tm,Detail,NOR,CHI
0,1.0,Bears,Bob Thomas 37 yard field goal,0,3
1,1.0,Saints,Russell Erxleben 26 yard field goal,3,3
2,1.0,Bears,Bob Fisher 56 yard pass from Mike Phipps (Bob Thomas kick),3,10
3,2.0,Bears,Bob Thomas 35 yard field goal,3,13
4,3.0,Bears,"Safety, Page tackled Manning in end zone",3,15
5,4.0,Bears,Walter Payton 69 yard rush (Bob Thomas kick),3,22
