,Quarter,Time,Tm,Detail,SEA,SDG
0,1,,Chargers,Tony Martin 5 yard pass from Stan Humphries (John Carney kick),0,7
1,2,,Seahawks,Christian Fauria 20 yard pass from Rick Mirer (Todd Peterson kick),7,7
2,3,,Seahawks,Todd Peterson 23 yard field goal,10,7
3,4,,Chargers,Ronnie Harmon 15 yard pass from Stan Humphries (John Carney kick),10,14
