,Quarter,Time,Tm,Detail,TAM,CAR
0,1.0,6:28,Buccaneers,Roberto Aguayo 35 yard field goal,3,0
1,2.0,0:43,Buccaneers,Roberto Aguayo 35 yard field goal,6,0
2,3.0,9:12,Panthers,Cameron Artis-Payne 1 yard rush (Graham Gano kick),6,7
3,3.0,6:03,Panthers,Cameron Artis-Payne 12 yard rush (Graham Gano kick),6,14
4,3.0,4:27,Buccaneers,Mike Evans 26 yard pass from Jameis Winston (Adam Humphries pass from Jameis Winston),14,14
5,4.0,0:00,Buccaneers,Roberto Aguayo 38 yard field goal,17,14
