,Quarter,Time,Tm,Detail,NYG,ATL
0,1.0,12:12,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),0,7
1,1.0,1:43,Falcons,Tony Gonzalez 12 yard pass from Matt Ryan (Matt Bryant kick),0,14
2,2.0,10:22,Falcons,Matt Bryant 38 yard field goal,0,17
3,3.0,11:31,Falcons,Julio Jones 40 yard pass from Matt Ryan (Matt Bryant kick),0,24
4,3.0,0:10,Falcons,Matt Bryant 19 yard field goal,0,27
5,4.0,4:57,Falcons,Julio Jones 3 yard pass from Matt Ryan (Matt Bryant kick),0,34
