,Quarter,Tm,Detail,ATL,RAI
0,2.0,Falcons,Greg Davis 46 yard field goal,3,0
1,3.0,Falcons,Greg Davis 41 yard field goal,6,0
2,3.0,Raiders,Chris Bahr 42 yard field goal,6,3
3,4.0,Raiders,Chris Bahr 31 yard field goal,6,6
4,4.0,Falcons,John Settle 1 yard rush,12,6
