,Quarter,Tm,Detail,NYG,SFO
0,1.0,49ers,John Taylor 4 yard pass from Joe Montana (Mike Cofer kick),0,7
1,1.0,Giants,Ottis Anderson 2 yard rush (Bjorn Nittmo kick),7,7
2,1.0,49ers,Jerry Rice 4 yard pass from Joe Montana (Mike Cofer kick),7,14
3,2.0,49ers,Mike Cofer 44 yard field goal,7,17
4,2.0,49ers,Brent Jones 17 yard pass from Joe Montana (Mike Cofer kick),7,24
5,2.0,Giants,Bjorn Nittmo 39 yard field goal,10,24
6,3.0,Giants,Dave Meggett 53 yard pass from Phil Simms (Bjorn Nittmo kick),17,24
7,4.0,Giants,Odessa Turner 7 yard pass from Phil Simms (Bjorn Nittmo kick),24,24
8,4.0,49ers,Mike Cofer 45 yard field goal,24,27
9,4.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),24,34
