,Quarter,Tm,Detail,RAM,PIT
0,1.0,Rams,Gaston Green 100 yard kickoff return (Mike Lansford kick),7,0
1,1.0,Steelers,Merril Hoge 6 yard pass from Bubby Brister (Gary Anderson kick),7,7
2,1.0,Steelers,Eric Green 17 yard pass from Bubby Brister (Gary Anderson kick),7,14
3,2.0,Rams,Mike Lansford 32 yard field goal,10,14
4,2.0,Steelers,Gary Anderson 42 yard field goal,10,17
5,3.0,Steelers,Gary Anderson 30 yard field goal,10,20
6,3.0,Steelers,Merril Hoge 1 yard rush (Gary Anderson kick),10,27
7,4.0,Steelers,Dwight Stone 8 yard pass from Bubby Brister (Gary Anderson kick),10,34
8,4.0,Steelers,Merril Hoge 2 yard pass from Bubby Brister (Gary Anderson kick),10,41
