,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Ward Cuff 37 yard field goal,3,0
1,2.0,Giants,Merle Hapes 15 yard pass from Tuffy Leemans (Ward Cuff kick),10,0
2,2.0,Steelers,Joe Hoague 3 yard rush,10,6
3,4.0,Steelers,Curt Sandig 4 yard rush (Armand Niccolai kick),10,13
