,Quarter,Time,Tm,Detail,TEN,BUF
0,2.0,12:29,Bills,Peerless Price 15 yard pass from Rob Johnson (Steve Christie kick),0,7
1,2.0,4:17,Titans,Al Del Greco 38 yard field goal,3,7
2,2.0,0:11,Titans,Al Del Greco 27 yard field goal,6,7
3,3.0,4:00,Bills,Steve Christie 42 yard field goal,6,10
4,4.0,14:19,Bills,Steve Christie 41 yard field goal,6,13
5,4.0,8:44,Titans,Eddie George 2 yard rush (Al Del Greco kick),13,13
6,4.0,0:31,Bills,Steve Christie 33 yard field goal,13,16
