,Quarter,Tm,Detail,SFO,WAS
0,2.0,Redskins,John Riggins 4 yard rush (Mark Moseley kick),0,7
1,3.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),0,14
2,3.0,Redskins,Charlie Brown 70 yard pass from Joe Theismann (Mark Moseley kick),0,21
3,4.0,49ers,Mike Wilson 5 yard pass from Joe Montana (Ray Wersching kick),7,21
4,4.0,49ers,Freddie Solomon 76 yard pass from Joe Montana (Ray Wersching kick),14,21
5,4.0,49ers,Mike Wilson 12 yard pass from Joe Montana (Ray Wersching kick),21,21
6,4.0,Redskins,Mark Moseley 25 yard field goal,21,24
