,Quarter,Tm,Detail,CLE,NYG
0,1.0,Browns,Tommy O'Connell 1 yard rush (Lou Groza kick),7,0
1,2.0,Giants,Frank Gifford 6 yard pass from Charlie Conerly (Ben Agajanian kick),7,7
2,2.0,Browns,Lou Groza 41 yard field goal,10,7
3,2.0,Browns,Fred Morrison 6 yard pass from Tommy O'Connell (Lou Groza kick),17,7
4,3.0,Browns,Tommy O'Connell 1 yard rush (Lou Groza kick),24,7
