,Quarter,Tm,Detail,BOS,WAS
0,1.0,Yanks,Bill Paschal 1 yard rush (Roy Zimmerman kick),7,0
1,1.0,Redskins,Dick Todd 78 yard pass from Sammy Baugh (Dick Poillon kick),7,7
2,1.0,Redskins,Dan Sandifer 35 yard interception return (Dick Poillon kick),7,14
3,1.0,Yanks,Bill Paschal 22 yard pass from Roy Zimmerman (Roy Zimmerman kick),14,14
4,2.0,Redskins,Joe Tereshinski 76 yard pass from Sammy Baugh (Dick Poillon kick),14,21
5,2.0,Redskins,Hal Crisler 49 yard pass from Sammy Baugh (Dick Poillon kick),14,28
6,3.0,Redskins,Dick Todd 38 yard pass from Sammy Baugh (Dick Poillon kick),14,35
7,3.0,Yanks,Joe Golding 12 yard pass from Roy Zimmerman (Roy Zimmerman kick),21,35
8,3.0,Redskins,Dick Poillon 43 yard field goal,21,38
9,4.0,Redskins,Dick Poillon 1 yard rush (Dick Poillon kick),21,45
10,4.0,Redskins,Howard Hartley 26 yard rush (Dick Poillon kick),21,52
11,4.0,Redskins,Dan Sandifer 50 yard interception return (Dick Poillon kick),21,59
