,Quarter,Time,Tm,Detail,DAL,PIT
0,2.0,2:40,Steelers,Jeff Reed 24 yard field goal,0,3
1,2.0,0:00,Cowboys,Nick Folk 44 yard field goal,3,3
2,3.0,9:36,Cowboys,Terrell Owens 12 yard pass from Tony Romo (Nick Folk kick),10,3
3,3.0,3:32,Cowboys,Nick Folk 33 yard field goal,13,3
4,4.0,7:15,Steelers,Jeff Reed 41 yard field goal,13,6
5,4.0,2:04,Steelers,Heath Miller 6 yard pass from Ben Roethlisberger (Jeff Reed kick),13,13
6,4.0,1:40,Steelers,Deshea Townsend 25 yard interception return (Jeff Reed kick),13,20
