,Quarter,Tm,Detail,DEN,RAI
0,1.0,Broncos,Rich Karlis 23 yard field goal,3,0
1,1.0,Broncos,Barney Chavous defensive fumble recovery in end zone (Rich Karlis kick),10,0
2,2.0,Raiders,Chris Bahr 28 yard field goal,10,3
3,2.0,Raiders,Chris Bahr 42 yard field goal,10,6
4,3.0,Raiders,Marcus Allen 7 yard rush (Chris Bahr kick),10,13
5,4.0,Raiders,Frank Hawkins 17 yard rush,10,19
6,4.0,Broncos,Rich Karlis 22 yard field goal,13,19
7,4.0,Broncos,John Elway 4 yard rush (Rich Karlis kick),20,19
8,4.0,Raiders,Chris Bahr 39 yard field goal,20,22
