,Quarter,Tm,Detail,NYG,CRD
0,1.0,Giants,Bob Schnelker 45 yard pass from Charlie Conerly (Ben Agajanian kick),7,0
1,1.0,Giants,Ben Agajanian 41 yard field goal,10,0
2,1.0,Cardinals,Pat Summerall 31 yard field goal,10,3
3,2.0,Giants,Ken MacAfee 5 yard pass from Bob Clatterbuck (Ben Agajanian kick),17,3
4,2.0,Giants,Bob Clatterbuck 1 yard rush (Ben Agajanian kick),24,3
5,3.0,Giants,Bob Schnelker 19 yard pass from Charlie Conerly (Ben Agajanian kick),31,3
6,3.0,Cardinals,Les Goble 94 yard kickoff return (Pat Summerall kick),31,10
7,3.0,Giants,Ben Agajanian 38 yard field goal,34,10
8,4.0,Giants,Buford Long 5 yard rush (Ben Agajanian kick),41,10
