,Quarter,Time,Tm,Detail,NYJ,DET
0,1.0,,Jets,John Hall 32 yard field goal,3,0
1,1.0,,Jets,Adrian Murrell 14 yard rush (John Hall kick),10,0
2,2.0,,Lions,Jason Hanson 44 yard field goal,10,3
3,3.0,,Lions,Jason Hanson 25 yard field goal,10,6
4,4.0,,Lions,Barry Sanders 15 yard rush (Jason Hanson kick),10,13
