,Quarter,Tm,Detail,WAS,PIT
0,1.0,Steelers,"Safety, Heath tackled by Ferry in end zone",0,2
1,2.0,Redskins,Hugh Taylor 5 yard pass from Eddie LeBaron (Bill Dudley kick),7,2
2,4.0,Steelers,Lynn Chandnois 5 yard rush (Nick Bolkovac kick),7,9
3,4.0,Redskins,Bill Dudley 41 yard field goal,10,9
4,4.0,Redskins,Julie Rykovich 5 yard pass from Eddie LeBaron (Bill Dudley kick),17,9
