,Quarter,Time,Tm,Detail,CHI,DET
0,1.0,7:09,Lions,Jason Hanson 41 yard field goal,0,3
1,1.0,6:52,Lions,David Sloan 9 yard pass from Charlie Batch (Jason Hanson kick),0,10
2,2.0,13:49,Bears,Paul Edinger 37 yard field goal,3,10
3,2.0,4:37,Bears,Paul Edinger 50 yard field goal,6,10
4,3.0,1:47,Bears,Marty Booker 27 yard pass from Cade McNown (Paul Edinger kick),13,10
5,4.0,11:14,Lions,Stoney Case 13 yard rush (Jason Hanson kick),13,17
6,4.0,6:31,Bears,R.W. McQuarters 61 yard interception return (Paul Edinger kick),20,17
7,4.0,1:56,Lions,Jason Hanson 26 yard field goal,20,20
8,4.0,0:02,Bears,Paul Edinger 54 yard field goal,23,20
