,Quarter,Time,Tm,Detail,GNB,NYJ
0,1.0,4:41,Packers,Mason Crosby 20 yard field goal,3,0
1,4.0,6:36,Packers,Mason Crosby 41 yard field goal,6,0
2,4.0,0:27,Packers,Mason Crosby 40 yard field goal,9,0
