,Quarter,Time,Tm,Detail,DAL,STL
0,1.0,9:42,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),7,0
1,1.0,7:51,Rams,Donnie Avery 42 yard pass from Marc Bulger (Josh Brown kick),7,7
2,1.0,4:34,Rams,Steven Jackson 8 yard rush (Josh Brown kick),7,14
3,1.0,1:56,Rams,Steven Jackson 1 yard rush (Josh Brown kick),7,21
4,2.0,1:47,Rams,Josh Brown 52 yard field goal,7,24
5,3.0,8:55,Rams,Steven Jackson 56 yard rush (Josh Brown kick),7,31
6,4.0,10:33,Rams,Josh Brown 35 yard field goal,7,34
7,4.0,1:50,Cowboys,Martellus Bennett 34 yard pass from Brad Johnson (Nick Folk kick),14,34
