,Quarter,Tm,Detail,ATL,NOR
0,1.0,Saints,Wes Chandler 18 yard pass from Archie Manning (Benny Ricardo kick),0,7
1,1.0,Falcons,Junior Miller 11 yard pass from Steve Bartkowski (Tim Mazzetti kick),7,7
2,2.0,Saints,Tony Galbreath 15 yard pass from Archie Manning (Benny Ricardo kick),7,14
3,2.0,Falcons,Wallace Francis 24 yard pass from Steve Bartkowski,13,14
4,3.0,Falcons,Alfred Jenkins 49 yard pass from Steve Bartkowski (Tim Mazzetti kick),20,14
5,3.0,Falcons,Lynn Cain 1 yard rush (Tim Mazzetti kick),27,14
6,3.0,Falcons,Junior Miller 4 yard pass from Steve Bartkowski (Tim Mazzetti kick),34,14
7,4.0,Falcons,William Andrews 13 yard rush (Tim Mazzetti kick),41,14
