,Quarter,Time,Tm,Detail,NWE,MIA
0,2.0,,Patriots,Curtis Martin 3 yard rush (Matt Bahr kick),7,0
1,2.0,,Dolphins,Bernie Parmalee 31 yard pass from Dan Marino (Pete Stoyanovich kick),7,7
2,2.0,,Dolphins,Pete Stoyanovich 36 yard field goal,7,10
3,2.0,,Patriots,Matt Bahr 55 yard field goal,10,10
4,3.0,,Patriots,Vincent Brisby 47 yard pass from Drew Bledsoe (Matt Bahr kick),17,10
5,3.0,,Dolphins,O.J. McDuffie 20 yard pass from Dan Marino (Pete Stoyanovich kick),17,17
6,3.0,,Patriots,Ben Coates 8 yard pass from Drew Bledsoe (Matt Bahr kick),24,17
7,4.0,,Patriots,Curtis Martin 1 yard rush (Matt Bahr kick),31,17
8,4.0,,Patriots,Matt Bahr 47 yard field goal,34,17
