,Quarter,Time,Tm,Detail,WAS,NYG
0,2.0,8:16,Redskins,Kai Forbath 31 yard field goal,3,0
1,2.0,5:21,Giants,Jerrel Jernigan 24 yard pass from Eli Manning (Josh Brown kick),3,7
2,2.0,1:38,Giants,Josh Brown 34 yard field goal,3,10
3,2.0,0:04,Redskins,Kai Forbath 49 yard field goal,6,10
4,3.0,0:00,Giants,Jerrel Jernigan 49 yard rush (Josh Brown kick),6,17
5,4.0,4:53,Giants,Josh Brown 38 yard field goal,6,20
