,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,11:37,Giants,David Wilson 5 yard rush (Josh Brown kick),0,7
1,1.0,6:49,Eagles,Alex Henery 40 yard field goal,3,7
2,2.0,10:40,Eagles,Alex Henery 27 yard field goal,6,7
3,2.0,8:11,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),13,7
4,2.0,2:38,Eagles,Alex Henery 29 yard field goal,16,7
5,2.0,0:00,Eagles,Alex Henery 36 yard field goal,19,7
6,3.0,6:58,Giants,Rueben Randle 26 yard pass from Eli Manning (Josh Brown kick),19,14
7,3.0,3:46,Giants,Rueben Randle 6 yard pass from Eli Manning (Josh Brown kick),19,21
8,3.0,1:04,Eagles,Alex Henery 41 yard field goal,22,21
9,4.0,10:26,Eagles,Brent Celek 25 yard pass from Nick Foles (Alex Henery kick),29,21
10,4.0,8:24,Eagles,DeSean Jackson 5 yard pass from Nick Foles (Alex Henery kick),36,21
