,Quarter,Tm,Detail,RAI,SFO
0,2.0,49ers,Mike Cofer 44 yard field goal,0,3
1,3.0,Raiders,Chris Bahr 45 yard field goal,3,3
2,3.0,Raiders,Chris Bahr 50 yard field goal,6,3
3,4.0,Raiders,Chris Bahr 19 yard field goal,9,3
