,Quarter,Tm,Detail,BAL,BUF
0,1.0,Bills,George Jakowenko 32 yard field goal,0,3
1,1.0,Colts,Toni Linhart 21 yard field goal,3,3
2,2.0,Colts,Don McCauley 2 yard rush (Toni Linhart kick),10,3
3,2.0,Bills,George Jakowenko 44 yard field goal,10,6
4,2.0,Bills,O.J. Simpson 33 yard pass from Joe Ferguson (George Jakowenko kick),10,13
5,2.0,Colts,Lydell Mitchell 6 yard rush (Toni Linhart kick),17,13
6,4.0,Colts,Glenn Doughty 9 yard pass from Bert Jones (Toni Linhart kick),24,13
7,4.0,Colts,Don McCauley 3 yard pass from Bert Jones (Toni Linhart kick),31,13
