,Quarter,Tm,Detail,ATL,SDG
0,1.0,Falcons,Art Malone 8 yard rush (Nick Mike-Mayer kick),7,0
1,2.0,Falcons,Nick Mike-Mayer 43 yard field goal,10,0
2,2.0,Falcons,Dave Hampton 4 yard rush (Nick Mike-Mayer kick),17,0
3,3.0,Falcons,Nick Mike-Mayer 12 yard field goal,20,0
4,3.0,Falcons,Dave Hampton 2 yard rush (Nick Mike-Mayer kick),27,0
5,4.0,Falcons,Eddie Ray 2 yard rush (Nick Mike-Mayer kick),34,0
6,4.0,Falcons,Eddie Ray 12 yard rush (Nick Mike-Mayer kick),41,0
