,Quarter,Tm,Detail,CLE,CIN
0,1.0,Browns,Mark Miller 5 yard rush,6,0
1,2.0,Bengals,Chris Bahr 23 yard field goal,6,3
2,2.0,Bengals,Don Bass 40 yard pass from Ken Anderson (Chris Bahr kick),6,10
3,2.0,Bengals,Archie Griffin 6 yard pass from Ken Anderson (Chris Bahr kick),6,17
4,3.0,Bengals,Rick Walker 3 yard pass from Archie Griffin (Chris Bahr kick),6,24
5,3.0,Browns,Greg Pruitt 70 yard rush (Don Cockroft kick),13,24
6,3.0,Browns,Don Cockroft 19 yard field goal,16,24
7,4.0,Bengals,Ken Anderson 3 yard rush (Chris Bahr kick),16,31
8,4.0,Bengals,Chris Bahr 49 yard field goal,16,34
9,4.0,Bengals,Pete Johnson 12 yard rush (Chris Bahr kick),16,41
10,4.0,Bengals,Scott Perry 16 yard interception return (Chris Bahr kick),16,48
