,Quarter,Tm,Detail,NWE,CHI
0,1.0,Patriots,Stanley Morgan 10 yard pass from Steve Grogan (John Smith kick),7,0
1,1.0,Patriots,Harold Jackson 19 yard pass from Steve Grogan (John Smith kick),14,0
2,2.0,Bears,Dave Williams 54 yard pass from Bob Avellini (Bob Thomas kick),14,7
3,3.0,Patriots,John Smith 21 yard field goal,17,7
4,4.0,Patriots,Russ Francis 4 yard pass from Steve Grogan (John Smith kick),24,7
5,4.0,Patriots,John Smith 29 yard field goal,27,7
