,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),0,7
1,1.0,Bengals,James Brooks 7 yard rush (Jim Breech kick),0,14
2,1.0,Bengals,James Brooks 9 yard rush (Jim Breech kick),0,21
3,1.0,Bengals,Leo Barker 34 yard defensive fumble return (Jim Breech kick),0,28
4,2.0,Oilers,Mike Rozier 5 yard rush (Tony Zendejas kick),7,28
5,3.0,Bengals,James Brooks 18 yard rush (Jim Breech kick),7,35
6,3.0,Oilers,Willie Drewrey 10 yard pass from Warren Moon (Tony Zendejas kick),14,35
7,3.0,Oilers,Drew Hill 15 yard pass from Warren Moon (Tony Zendejas kick),21,35
8,4.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),21,42
9,4.0,Bengals,"Safety, Moon fumbled out of end zone",21,44
