,Quarter,Time,Tm,Detail,BAL,MIA
0,1.0,12:46,Dolphins,Olindo Mare 33 yard field goal,0,3
1,2.0,13:34,Ravens,Terry Allen 4 yard rush (Matt Stover kick),7,3
2,3.0,1:20,Ravens,Travis Taylor 4 yard pass from Elvis Grbac (Matt Stover kick),14,3
3,4.0,11:05,Ravens,Matt Stover 35 yard field goal,17,3
4,4.0,2:01,Ravens,Matt Stover 40 yard field goal,20,3
