,Quarter,Time,Tm,Detail,JAX,GNB
0,1.0,8:23,Jaguars,Josh Scobee 38 yard field goal,3,0
1,1.0,2:54,Packers,Randall Cobb 5 yard pass from Aaron Rodgers (Mason Crosby kick),3,7
2,2.0,8:45,Packers,Dezman Moses blocked punt recovery in end zone (Mason Crosby kick),3,14
3,2.0,1:03,Jaguars,Josh Scobee 22 yard field goal,6,14
4,2.0,0:17,Jaguars,Guy Whimper 1 yard pass from Blaine Gabbert (pass failed),12,14
5,4.0,12:36,Packers,Donald Driver 4 yard pass from Aaron Rodgers (Mason Crosby kick),12,21
6,4.0,6:50,Jaguars,Josh Scobee 32 yard field goal,15,21
7,4.0,0:28,Packers,Mason Crosby 25 yard field goal,15,24
