,Quarter,Time,Tm,Detail,NYJ,DET
0,1.0,5:17,Jets,Santana Moss 10 yard pass from Chad Pennington (John Hall kick),7,0
1,2.0,14:13,Jets,Wayne Chrebet 15 yard pass from Chad Pennington (John Hall kick failed),13,0
2,2.0,10:54,Lions,Bill Schroeder 37 yard pass from Joey Harrington (Jason Hanson kick),13,7
3,3.0,7:11,Lions,Bill Schroeder 7 yard pass from Joey Harrington (Jason Hanson kick),13,14
4,3.0,0:37,Jets,Wayne Chrebet 4 yard pass from Chad Pennington (Laveranues Coles pass from Chad Pennington),21,14
5,4.0,11:13,Jets,John Hall 22 yard field goal,24,14
6,4.0,3:26,Jets,Anthony Becht 1 yard pass from Chad Pennington (John Hall kick),31,14
