,Quarter,Time,Tm,Detail,ATL,RAM
0,2,6:38,Rams,"Safety, Gilbert tackled George in end zone",0,2
1,3,6:38,Rams,Tony Zendejas 28 yard field goal,0,5
2,4,6:38,Falcons,Ricky Sanders 13 yard pass from Bobby Hebert (Terance Mathis pass from Bobby Hebert),8,5
