,Quarter,Time,Tm,Detail,HOU,NYJ
0,1.0,,Oilers,Frank Wycheck 23 yard pass from Steve McNair (Al Del Greco kick),7,0
1,1.0,0:45,Oilers,Chris Sanders 83 yard pass from Steve McNair (Al Del Greco kick),14,0
2,2.0,0:45,Jets,Nick Lowery 30 yard field goal,14,3
3,2.0,0:45,Oilers,Eddie George 35 yard rush (Al Del Greco kick),21,3
4,2.0,0:45,Jets,Keyshawn Johnson 18 yard pass from Frank Reich (Nick Lowery kick),21,10
5,4.0,0:45,Oilers,Eddie George 1 yard rush (Al Del Greco kick),28,10
6,4.0,0:45,Oilers,Rodney Thomas 24 yard rush (Al Del Greco kick),35,10
