,Quarter,Time,Tm,Detail,STL,ATL
0,1.0,,Falcons,Morten Andersen 34 yard field goal,0,3
1,1.0,,Rams,Eddie Kennison 72 yard pass from Tony Banks (Chip Lohmiller kick),7,3
2,2.0,,Rams,Eddie Kennison 77 yard pass from Tony Banks (Chip Lohmiller kick),14,3
3,2.0,,Rams,Chip Lohmiller 25 yard field goal,17,3
4,2.0,,Rams,Lawrence Phillips 6 yard rush (Chip Lohmiller kick),24,3
5,2.0,,Falcons,Bert Emanuel 5 yard pass from Bobby Hebert (Morten Andersen kick),24,10
6,3.0,,Falcons,Craig Heyward 1 yard rush (Morten Andersen kick),24,17
7,3.0,,Rams,Chip Lohmiller 25 yard field goal,27,17
8,3.0,,Falcons,Morten Andersen 31 yard field goal,27,20
9,4.0,,Rams,Eddie Kennison 41 yard pass from Tony Banks (Chip Lohmiller kick),34,20
10,4.0,,Falcons,Eric Metcalf 2 yard pass from Bobby Hebert (Morten Andersen kick),34,27
