,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,,Eagles,Mark Bavaro 27 yard pass from Bubby Brister (Eddie Murray kick),0,7
1,2.0,,Eagles,Eddie Murray 32 yard field goal,0,10
2,2.0,,Giants,Brad Daluiso 47 yard field goal,3,10
3,3.0,,Eagles,Eddie Murray 42 yard field goal,3,13
4,3.0,,Giants,Brad Daluiso 19 yard field goal,6,13
5,4.0,,Giants,Dave Meggett 5 yard rush (Brad Daluiso kick),13,13
6,4.0,,Giants,Brad Daluiso 18 yard field goal,16,13
