,Quarter,Tm,Detail,MIA,WAS
0,2.0,Dolphins,Garo Yepremian 34 yard field goal,3,0
1,2.0,Dolphins,Garo Yepremian 35 yard field goal,6,0
2,3.0,Dolphins,Jimmy Cefalo 40 yard pass from Bob Griese (Garo Yepremian kick),13,0
3,3.0,Dolphins,Garo Yepremian 39 yard field goal,16,0
