,Quarter,Tm,Detail,PIT,KAN
0,1.0,Chiefs,Deron Cherry 47 yard interception return (Nick Lowery kick),0,7
1,1.0,Steelers,John Stallworth 13 yard pass from David Woodley (Gary Anderson kick),7,7
2,1.0,Steelers,Gary Anderson 35 yard field goal,10,7
3,2.0,Steelers,Gary Anderson 31 yard field goal,13,7
4,2.0,Chiefs,Jeff Smith 45 yard pass from Bill Kenney (Nick Lowery kick),13,14
5,2.0,Steelers,Louis Lipps 71 yard punt return (Gary Anderson kick),20,14
6,2.0,Steelers,Walter Abercrombie 2 yard rush (Gary Anderson kick),27,14
7,3.0,Steelers,Gary Anderson 27 yard field goal,30,14
8,4.0,Chiefs,Jeff Smith 13 yard pass from Bill Kenney (Nick Lowery kick),30,21
9,4.0,Steelers,Gary Anderson 36 yard field goal,33,21
10,4.0,Steelers,Gary Anderson 28 yard field goal,36,21
11,4.0,Chiefs,Anthony Hancock 13 yard pass from Bill Kenney (Nick Lowery kick),36,28
