,Quarter,Tm,Detail,DAL,WAS
0,2.0,Cowboys,Otto Stowe 15 yard pass from Roger Staubach (Toni Fritsch kick),7,0
1,4.0,Redskins,Charley Taylor 1 yard pass from Sonny Jurgensen (Curt Knight kick),7,7
2,4.0,Redskins,Brig Owens 26 yard interception return (Curt Knight kick),7,14
